Year,Hydraulic Turbine,Wind Power Turbine,Tidal Power Turbine,Conventional Steam Turbine,Nuclear Steam Turbine,Combustion Turbine,Internal Combustion Turbine,Solar Power,Other Non-Combustibles,Geothermal
2006,72644.118,1470.499,3.7,25768.798,13345,9160.533,610.756,0,0,0
2007,73442.973,1824.349,20,25987.248,13345,8988.238,740.444,0,0,0
2008,74371.981,2228.609,20,25910.768,13345,8710.726,747.335,0,0,0
2009,74673.138,3026.259,20,27142.193,12665,11291.696,797.747,0,0,0
2010,75062.499,3972.559,20,25491.031,12665,12406.238,802.755,108.4,0,0
2011,75403.484,4476.709,20,24732.978,13345,11746.501,803.537,143.612,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,76520.368,6716.982,20,20589.158,14033,11949.596,922.086,171.112,0,0
2014,78570.149,8495.912,20,21068.218,14033,11692.141,943.935,264.659,0,0
2015,79213.9,11128.205,20,21293.778,14033,12724.685,1108.335,1874.745,0,0
2016,80448.736,11974.153,20,21469.335,14033,13167.708,1176.642,2085.908,0,0
2017,80763.622,12402.715,20,21295.779,14033,13205.566,1195.293,2297.863,0,0
2018,81394.893,12961.924,20,20925.27,14033,13264.834,1240.567,1463.167,0.5,0
2019,81400.05,13021.597,20,20728.474,14101,13656.257,1194.83,1415.059,0.5,0
2020,81364.217,13173.567,0,20716.174,14101,13601.877,1176.084,1827.481,0.5,0
2021,82240.115,14316.369,0,20557.05,14503,14493.067,1188.729,2231.435,0.75,0
2022,82875.996,15505.302,0,20121.557,14503,14436.217,1070.211,3194.399,0,0
2023,83019.396,16064.802,0,20113.557,14503,14436.217,1070.211,3730.704,0,6
